Product-ID;enseigne;url;nom;marque;quantite;poids_volume;poids_volume_total;unite;descriptif;ingredients;conservation;valeurs_energetiques;origine;prix;prix_poids
101929;Simply;http://www.livraison.simplymarket.fr/acheter-epinards-branches-a-la-creme-auchan-750g-auchan,133851,101,811,3461.htm;EPINARDS BRANCHES A LA CREME AUCHAN;AUCHAN;1;;750;G;Epinards branches cuisines a la creme surgeles;Epinards 68%, eau, creme fraiche legere 5%, farine de ble, beurre doux, lactose et proteines de lait, poudre de lait ecreme, sel, aromes.Traces eventuelles de celeri, de moutarde, d'oeufs, de crustace et de soja.;*24 heures au refrigerateur **3 jours au compartiment a glace du refrigerateur ***jusqu'a la date indiquee sur lemballage au congelateur a 18C.;"Valeur energetique pour 100 g : 258 KJ, 62 Kcal ; Proteines : 3,1 ; Glucides : 5,7 ; Lipides : 2,4";;1.68;2.24
101930;Simply;http://www.livraison.simplymarket.fr/acheter-epinards-haches-a-la-creme-auchan-750g-auchan,133841,101,811,3461.htm;EPINARDS HACHES A LA CREME AUCHAN;AUCHAN;1;;750;G;Epinards haches cuisines a la creme surgeles;Epinards haches 68%, eau, creme fraiche legere 7%, farine de ble, beurre doux, lactose et proteines de lait, poudre de lait ecreme, sel, aromes.Trace eventuelles de celeri, de moutarde, d'oeuf, de crustace et de soja.;*24 heures au refrigerateur. **3 jours au compartiment a glace du refrigerateur. ***jusqu'a la date indiquee sur lemballage au congelateur a 18C.;"Valeur energetique pour 100 g : 269 KJ, 65 Kcal ; Proteines : 3,3 ; Glucides : 4,5 ; Lipides : 3,2";;1.51;2.01
101932;Simply;http://www.livraison.simplymarket.fr/acheter-epinards-haches-a-la-creme-fraiche-findus-600g-findus,10071,101,811,3461.htm;EPINARDS HACHES A LA CREME FRAICHE FINDUS;Findus;1;;600;G;Epinards haches a la creme fraiche, surgeles.;Epinards 71%, eau, creme fraiche 10.7%, farine de ble, lait ecreme en poudre, sel, aromes naturels (dont muscade).;A conserver a -18C.;Valeurs moyennes pour 100g : energie 300kJ (75kcal), proteines 3.5g, glucides 4.5g (dont sucres 1g), lipides 4g (dont acides gras satures 2.8g), fibres alimentaires 2g, sodium 0.3g.;;2.09;3.48
204839;Monoprix;http://courses.monoprix.fr/RIDE/Epinards-en-branches-surgeles-1350541;Epinards en branches, surgeles;Monoprix;;1;;kg;Ces epinards accompagneront viande ou poisson selon votre gout. Tous les bienfaits des legumes.;Epinards en branches 100 .;24 heures dans un refrigerateur. 3 jours dans le compartiment a glace dun refrigerateur. Plusieurs mois dans le compartiment a 18degC dun refrigerateur ou dans un congelateur, jusqua la date limite dutilisation optimale. Attention ne jamais recongeler un produit decongele.;[23Kcal];FRANCE;1.29;1.29
204840;Monoprix;http://courses.monoprix.fr/RIDE/Epinards-haches-la-creme-fraiche-1892749;Epinards haches, la creme fraiche;Monoprix;;600;;g;;Epinard haches 68 eau creme fraiche 7 poudre de lait ecreme amidon transforme de riz proteines de lait sel beurre amidon transforme de pommes de terre arome naturel epaissant gomme xanthane muscade.;24h dans un refrigerateur, 3 jours dans le compartiment a glace dun refrigerateur, plusieurs mois dans le compartiment a 18degC du refrigerateur ou dans un congelateur. Ne jamais recongeler un produit decongele.;[44kcal];FRANCE;1.39;2.32
204841;Monoprix;http://courses.monoprix.fr/RIDE/Epinards-haches-en-portions-126666;Epinards haches en portions;Monoprix;;1;;kg;Epinards haches en portions surgeles.;Epinards haches 100 .;24 heures dans un refrigerateur. 3 jours dans le compartiment a glace dun refrigerateur. Plusieurs mois dans le compartiment a 18degC dun refrigerateur ou dans un congelateur jusqua la date indiquee. Ne jamais recongeler un produit decongele.;[26kcal];FRANCE;1.29;1.29
302480;Auchan;"http://www.auchandirect.fr/surgeles/legumes,-pommes-de-terre,-herbes/epinards-en-branches/id1/469/3473;jsessionid=4C29CF24D122C01107A675DAEAE53D4C.655945727540143662";Epinards en branches;AUCHAN;;1;1; kg;A la casserole : verser dans une casserole d'eau bouillante sal__e les __pinards en branches encore surgel__s. Porter __ __bullition puis laisser cuire 15 min environ. __goutter et assaisonner selon votre go__t.  A la sauteuse : mettre de la mati__re grasse dans une sauteuse. Ajouter les portions d'__pinards en branches encore surgel__es. Assaisonner. Cuire __ couvert et __ feu doux pendant 20 min environ.  Ne pas recongeler un produit d__congel__.;__pinards en branches.;A conserver au cong__lateur __ -18__C pendant plusieurs mois.;Donn__es nutritionnelles : 100g contiennent environ .1g de lipides,2.9g de protides,1.4g de glucides. Valeur __nerg__tique pour 100g 18.1 Kcal.;;1.25;1.25
302482;Auchan;"http://www.auchandirect.fr/surgeles/legumes,-pommes-de-terre,-herbes/epinards-haches/id1/469/3474;jsessionid=4C29CF24D122C01107A675DAEAE53D4C.655945727540143662";Epinards hach__s;AUCHAN;;1;1; kg;Conseils de pr__paration :  A la casserole : Verser une cuill__re __ soupe d'huile dans une casserole. Ajouter les portions d'__pinards hach__s encore surgel__es. Laisser cuire __ feu doux 10 __ 15 min selon la quantit__. Surveiller la cuisson en remuant tr__s souvent. Assaisonner (sel, poivre, beurre, cr__me fra__che).    Ne pas recongeler un produit d__congel__.;Epinards hach__s.;A conserver au cong__lateur __ -18__C pendant plusieurs mois.  Ne pas recongeler un produit d__congel__.;Donn__es nutritionnelles : 100g contiennent environ 0.10g de lipides,1.80g de glucides,2.20g de protides.;;;
302492;Auchan;"http://www.auchandirect.fr/surgeles/legumes,-pommes-de-terre,-herbes/epinards-branches-a-la-creme/id1/469/88302;jsessionid=4C29CF24D122C01107A675DAEAE53D4C.655945727540143662";Epinards branches __ la cr__me;AUCHAN;;750;;g;"Conseils de pr__paration pour 500g : A la po__le ou __ la casserole (conseill__) : Faire cuire les __pinards surgel__s __ couvert en remuant de temps en temps pendant 10mn, __ feux doux. Au four micro-ondes : Mettre les __pinards surgel__s dans un plat adapt__ __ votre four micro-ondes. Couvrir et laisser cuire 6 __ 8mn __ 750W. Remuer de temps en temps pour assurer une cuisson homog__ne;";Epinards branches (70%), eau, cr__me (1,7%), huile de palme, lactose, prot__ines de lait, amidon transform&__ de ma__s, lait en poudre, sel, farine de bl__, ar__mes, __paississants : gomme xanthane, farine de graines de guar, sucre.;R__frig__rateur 24hCompartiment __ glace du r__frig__rateur 3 joursCong__lateur Jusqu'__ la date indiqu__e sur l'emballage;Donn__es nutritionnelles : 100g contiennent environ 1.90g de lipides,0.60g de glucides,2.00g de protides.;;;
102769;Simply;http://www.livraison.simplymarket.fr/acheter-ravioli-bolognaise-auchan-400g-auchan,184379,11,121,521.htm;RAVIOLI BOLOGNAISE AUCHAN;AUCHAN;1;;400;G;Ravioli sauce bolognaise.;Sauce : eau, viande de boeuf 10%*, concentre de tomate 7%, legumes (oignons 1%, carottes 1%, celeri), vin blanc, sel, sucre, huile de colza, ail poudre, persil, aromes.Pate : semoule de ble dur, eau, blanc d'oeuf en poudre.Farce : viande de boeuf 5%, chapelure(farine de ble, sel, huile de colza, levure, paprika), carottes 0.7%, sel, oignons deshydrates.*les pourcentages sont exprimes par rapport au poids net total. Viande mise en oeuvre: 15% du poids net total.;Avant ouverture: craint la chaleur et l'humidite. A conserver a temperature ambiante.Apres ouverture: a conserver au refrigerateur a +4C et a consommer dans les 48 heures.;Valeurs moyennes pour 100g: energie 430kJ (102kcal), proteines 4.5g, glucides 12.7g, lipides 3.5g.;;1.25;3.13
