|Nom|Format|Description|Prix/QTE|Prix
0|Lait 1er âge, jusqu'à 6 mois, protéines adaptées, certifié AB|La boîte de 900g|[Origine : FRANCE, Le lait biologique 1er âge Babybio apporte en proportion adéquate : les éléments nutritionnels nécessaires à la croissance du nourrisson de la naissance à 6 mois, des protéines adaptées à l'immaturité de l'organisme du nourrisson., Lactosérum déminéralisé*, maltodextrine*, huile de palme*, lait écrémé*, huiles végétales de première pression à froid* (colza*, tournesol*), citrate de calcium, chlorure de calcium, vitamine C, phosphate disodique, lactate de fer, hydroxyde de potassium, hydroxyde de sodium, oxyde de magnésium, sulfate de zinc, vitamine E, niacine, acide pantothénique, sulfate de cuivre, vitamines A, B6, riboflavine, thiamine, acide folique, vitamine K1, iodure de potassium, biotine, vitamines D, B12. *ingrédients issus de l'agriculture biologique., Valeur énergétique en Joules :  2073Kj, Valeur énergétique en Kcal : 8665Kcal, Glucides : 60g, Lipides : 24g, Protides :10g, Veillez à bien refermer la boîte et à la conserver au sec jusqu'à 4 semaines maximum après ouverture.]|"
22,99€ / Kg"|"
20,69 €"
1|Lait 1er âge, jusqu'à 6 mois, protéines adaptées, certifié AB|La boîte de 900g|[Origine : FRANCE, Le lait biologique 1er âge Babybio apporte en proportion adéquate : les éléments nutritionnels nécessaires à la croissance du nourrisson de la naissance à 6 mois, des protéines adaptées à l'immaturité de l'organisme du nourrisson., Lactosérum déminéralisé*, maltodextrine*, huile de palme*, lait écrémé*, huiles végétales de première pression à froid* (colza*, tournesol*), citrate de calcium, chlorure de calcium, vitamine C, phosphate disodique, lactate de fer, hydroxyde de potassium, hydroxyde de sodium, oxyde de magnésium, sulfate de zinc, vitamine E, niacine, acide pantothénique, sulfate de cuivre, vitamines A, B6, riboflavine, thiamine, acide folique, vitamine K1, iodure de potassium, biotine, vitamines D, B12. *ingrédients issus de l'agriculture biologique., Valeur énergétique en Joules :  2073Kj, Valeur énergétique en Kcal : 8665Kcal, Glucides : 60g, Lipides : 24g, Protides :10g, Veillez à bien refermer la boîte et à la conserver au sec jusqu'à 4 semaines maximum après ouverture.]|"
22,99€ / Kg"|"
20,69 €"
2|Lait 1er âge en poudre, jusqu'à 4 mois|La boîte de 900g|[Origine : FRANCE, Par sa composition, Blédilait Confort Premium 1 couvre les besoins nutritionnels de bébé de la naissance jusqu'à 6 mois et favorise ainsi sa croissance harmonieuse et sans carence., Utilisez toujours 1 mesurette de poudre dans 30 ml d'eau. Lavez vous toujours les mains ainsi que votre plan de travail avant de préparer les biberons. Préparez le biberon juste avant le repas. Une fois préparé, il est recommandé de consommer le biberon dans la demi-heure. Versez la quantité d'eau froide nécessaire dans un biberon stérilisé. Utilisez la mesurette placée à l'intérieur de la boite. Agitez horizontalement pendant une dizaine de secondes. Puis agitez verticalement. Faites tiédir, puis agitez de nouveau le biberon. Contrôler la température à l'intérieur de votre poignet. Après la tétée, si votre bébé n'a pas tout bu, jetez le reste du biberon sans hésiter. Le lait maternel est l'aliment idéal du nourrisson. Toutefois, si vous nepouvez ou ne souhaitez pas allaiter, votre médecin vous conseillera un lait infantile adapté aux besoins nutritionnels de votre enfant dès la naissance. Ne changez pas ce lait sans demander l'avis de votre médecin., Lait écrémé, lactosérum partiellement déminéralisé, matières grasses végétales (palme, coprah, colza, tournesol), amidons (maïs, pomme de terre), maltodextrines, lactose, taurine, inositol, bifidobactéries, ferments lactiques, émulsifiant : lécithinede soja, antioxydant : extrait riche en tocophérols, vitamines : A, D3, E, C, B1, B2, PP, B6, ac folique, B12, biotine, pantothénate de calcium, K1, minéraux : citrates de calcium, de potassium, de sodium et de choline, chlorure de magnésium, phosphate de calcium, sulfates de fer, de zinc, de cuivre et de manganèse, bicarbonate de sodium, iodure de potassium., Une fois ouverte, la boîte peut se conserver au maximum 4 semaines bien refermée dans un endroit sec et frais. Conditionné sous atmosphère protectrice.]|"
20,26€ / Kg"|"
18,23 €"
3|Gallia calisma 2eme age|La boite de 3sachets de 400g  (1,2kg)|[Origine : FRANCE, Le Laboratoire Gallia a mis au point Calisma 2 au Pronutra+ pour contribuer au bon développement du système immunitaire de votre bébé de 6 à 12 mois, dans le cadre d'une alimentation diversifiée. Calisma 2 contient Pronutra+ notre association uniqued'ingrédients : des prébiotiques qui contribuent au développement d'une bonne flore intestinale. Des omégas 3 dont l'acide alpha-linolénique qui contribue au développement cérébral. Des vitamines A, C et D qui contribuent au bon fonctionnement du système immunitaire., Lactose (lait), huiles végétales (palme, colza, coprah, tournesol, mortierella alpina), maltodextrines, lait écrémé, protéines de lactosérum concentrées (lait), galacto-oligosaccharides (GOS) (lait), fructo-oligosaccharides (FOS), huile de poisson, chlorure de choline, taurine, émulsifiant : lécithine de soja, inositol, antioxydant : extrait riche en tocophérols, L-tryptophane, nucléotides, L-carnitine, vitamines : C, niacine, acide pantothénique, acide folique, A, E, biotine, B1, D3, B12, B6, B2, K1, minéraux : carbonate de calcium, citrate de potassium, chlorure de calcium, sulfate de fer, phosphate de calcium, chlorure de magnésium, sulfates de zinc, cuivre et manganèse, iodure de potassium, sélénite de sodium.]|"
15,52€ / Kg"|"
18,62 €"
4|Lait 1er âge, de 0 à 6 mois|La boîte de 900g|[Origine : FRANCE, Le Laboratoire Gallia a mis au point Galliagest 1, une formule ayant une consistance épaissie qui convient à lalimentation particulière du nourrisson de la naissance à 6 mois., Le dosage et la fréquence des biberons sont proposés à titre indicatif. Le corps médical pourra adapter le régime quotidien de votre bébé en fonction de ses besoins spécifiques. Utilisez toujours 1 mesurette de poudre dans 30 ml d'eau. Durant les 2 premières semaines de vie, se référer à l'avis médical. Préparer le biberon juste avant le repas. Pour préparer le biberon, utilisez exclusivement la mesurette contenu dans cette boîte. Une fois préparé, il est conseillé de consommer le biberon dans la demi-heure. Après la tétée, si votre bébé na pas tout bu, jetez le reste du biberon sans hésiter. Formule épaissie pouvant nécessiter lutilisation dune tétine adaptée. Le lait maternel est, pour chaque nourrisson, laliment idéal et naturel. Toutefois, si vous ne pouvez pas ou ne souhaitez pas allaiter, le corps médical vous conseillera une préparation infantile répondant aux besoins nutritionnels spécifiques de votre enfant. Ce produit convient à lalimentation de votre bébé, nen changezpas sans demander lavis de votre médecin., Lait ÍcrÍmÍ - lactosÍrum partiellement dÍminÍralisÍ (lait) - huiles vÍgÍtales (palme, colza, coprah,t o u r n e s o l , mo r t i e r e l l a alpina) - maltodextrines -amidons - Ímulsifiant : lÍcithine de soja - huile de poisson - nuclÍotides - taurine -bifidobactÍries - inositol -citrate de choline - ferments lactiques - antioxydant :extrait riche en tocophÍrols -Vitamines : C, niacine, K, D, A,acide pantothÍnique, B6, B12,B1, B2, acide folique, biotine -MinÍraux : citrates de calcium et de potassium, chlorures de potassium et de magnÍsium,sulfates de fer, de zinc, de cuivre et de manganÈse, iodure de potassium, sÍlÍnite de sodium., Valeur énergétique en Joules :  2055, Valeur énergétique en Kcal : 490, Glucides : 59.7, Lipides : 23.1, Protides :9.8, Avant ouverture, entreposez dans un endroit propre et sec. Une fois ouverte, la boîte peut se conserver au maximum 4 semaines, bien refermée, dans un endroit sec et frais. Conditionné sous atmosphèreprotectrice.]|"
22,64€ / Kg"|"
20,38 €"
5|Lait 1er âge, jusqu'à 6 mois|La boîte de 900g|[Origine : FRANCE, Le Laboratoire Gallia a mis au point Calisma 1 une formule quotidienne qui accompagne votre bébé de la naissance jusqu'à 6 mois, lorsqu'il n'est pas allaité, conformément à la réglementation. Calisma 1 contient une association d'ingrédients : des prébiotiques qui sont des fibres alimentaires de type FOS/GOS (Fructo-oligosaccharides et Galacto-Oligosaccharides). Des omégas 3 (DHA : acide docosahexaénoïque)., Lactosérum déminéralisé (lait), huiles végétales (palme, colza, coprah, tournesol, mortierella alpina), lactose (lait), lait écrémé, galacto-oligosaccharides (GOS) (lait), protéines de lactosérum concentrées (lait), fructo-oligosaccharides (GOS), huile de poisson, chlorure de choline, émulsifiant : lécithine de soja, taurine, nucléotides, antioxydant : extrait riche en tocophérols, inositol, L-tryptophane, vitamines : C, niacine, acide pantothénique, acide folique, A, E, biotine, B12, B1, D3, B6, K1, minéraux : carbonate de calcium, chlorure de potassium, citrate de potassium, chlorure de magnésium, citrate de sodium, sulfates de fer, de zinc, de cuivre et de manganèse, iodure de potassium, sélénite de sodium.]|"
20,34€ / Kg"|"
18,31 €"
6|Lait 1er âge, jusqu'à 6 mois|Les 3 sachets de 400g|[Origine : FRANCE, Le Laboratoire Gallia a mis au point Calisma 1 une formule quotidienne qui accompagne votre bébé de la naissance jusqu'à 6 mois, lorsqu'il n'est pas allaité, conformément à la réglementation. Calisma 1 contient une association d'ingrédients : des prébiotiques qui sont des fibres alimentaires de type FOS/GOS (Fructo-oligosaccharides et Galacto-Oligosaccharides). Des omégas 3 (DHA : acide docosahexaénoïque)., Lactosérum déminéralisé (lait), huiles végétales (palme, colza, coprah, tournesol, mortierella alpina), lactose (lait), lait écrémé, galacto-oligosaccharides (GOS) (lait), protéines de lactosérum concentrées (lait), fructo-oligosaccharides (FOS), huile de poisson, chlorure de choline, émulsifiant : lécithine de soja, taurine, nucléotides, antioxydant : extrait riche en tocophérols, inositol, L-tryptophane, vitamines : C, niacine, acide pantothénique, acide folique, A, E, biotine, B12, B1, D3, B6, K1, minéraux : carbonate de calcium, chlorure de potassium, citrate de potassium, chlorure de magnésium, citrate de sodium, sulfates de fer, de zinc, de cuivre et de manganèse, iodure de potassium, sélénite de sodium.]|"
18,16€ / Kg"|"
21,79 €"
7|Lait 1er âge Relais, jusqu'à 4 mois|La boîte de 900g|[Origine : FRANCE, Le Laboratoire Gallia a mis au point le lait infantile Gallia Calisma 1er âge. Il convient à l'alimentation particulière du nourrisson de la naissance à 6 mois quand il n'est pas allaité., Préparez le biberon juste avant le repas. Utilisez exclusivement la mesurette contenue dans cette boîte. Une fois préparé, il est recommandé de consommer le biberon dans la demi-heure. Versez la quantité d'eau froide nécessaire dans un biberon stérilisé. Utilisez la mesurette et ajoutez le nombre correspondant en vous aidant du bord araseur de la boîte pour enlever le surplus. Agitez horizontalement pendant une dizaine de secondes. Puis agitez verticalement pendant une dizaine de secondes. Contrôlez la température sur l'intérieur de votre poignet. Après la tétée, si votre bébé n'a pas tout bu, jetez le reste du biberon sans hésiter. Le lait maternel est l'aliment idéal du nourrisson. Toutefois, si vous ne pouvez ou ne souhaitez pas allaiter, votre médecin vous conseillera un lait infantile adapté aux besoins alimentaires de votre enfant dès la naissance. Ne changez pas ce lait infantile sans demander l'avis de votre médecin., Lait écrémé, lactose, matières grasses végétales (palme, coprah, colza, tournesol), maltodextrines, sérum partiellement déminéralisé, sirop de glucose, huiles de mortierella alpina et de poisson, protéines de lait, bifidobactéries, ferments lactiques, taurine, chlorhydrate de L-cystéine, nucléotides, L-tryptophane, inositol, émulsifiants : lécithine de soja, mono-diglycérides d'acides gras, antioxydant : extrait riche en tocophérols, vitamines : A, D3, E, C, B1, B2, PP, B6, acide folique, B12, biotine, pantothénate de calcium, K1, minéraux : citrates de calcium, de potassium, de sodium et de choline, chlorure de magnésium, phosphates de calcium et de potassium, sulfates de fer, de zinc, de cuivre et de manganèse, carbonate de sodium, iodurede potassium., Valeur énergétique en Joules :  296, Valeur énergétique en Kcal : 70,7, Glucides : 8,3, Lipides : 3,5, Protides :1,45, Une fois ouverte, la boîte peut se conserver au maximum 4 semaines bien refermée dans un endroit sec et frais. Conditionné sous atmosphère protectrice.]|"
22,00€ / Kg"|"
19,80 €"
8|Guigoz 1  des la naissance omega 3|La boite de 820g|[Origine : FRANCE, Les laboratoires Guigoz ont mis au point Guigoz 1, une formule qui convient à l'alimentation particulière du nourrisson, dès la naissance quand il n'est pas allaité. Cette formule contient du DHA* de la famille des Oméga 3. * : Acide docosahesaénoïque, acide gras polyinsaturé à chaîne longue de la famille des Oméga 3,, Ingrédients: LAIT écrémé, LACTOSE, huile végétales (oléine de palme, colza, coprah, tournesol), protéines solubles de LAIT, citrates de potassium, de calcium et de sodium, émulsifiant : lécithine de SOJA, chlorures de magnésium et de sodium, maltodextrine, huile de POISSON, L-phénylalanine, huile de Mortierella alpina, phosphate de calcium, vitamines : C, E, niacine, pantothenate de calcium, A, B1, B6, B2, D, K, B9, B12, biotine, sulfates ferreux de zinc, de cuivre et de manganèse, taurine, L-histidine, inositol, antioxydants : palmitate de L-ascorbyle et extrait riche en tocophérols, culture de Lactobacillus reuteri DSM 17938*, L-carnitine, iodure de potassium, sélénate de sodium. *sous licence Biogaia AB.]|"
21,09€ / Pce"|"
17,29 €"
9|Guigoz formule epaissie 1|La boite de 820g|[Origine : FRANCE, Les Laboratoires Guigoz ont mis au point Guigoz Epaissie 1, une formule qui convient à l'alimentation particulière du nourisson, dès la naissance quand il n'est pas allaité., Ingrédients : LAIT écrémé, LACTOSE, huiles végétales (oléine de palme, colza, coprah, tournesol), protéines solubles de LAIT, amidons, citrates de calcium, de potassium, de sodium -  émulsifiant : lécithine de SOJA, chlorures de magnésium et de sodium, maltodextrine, L-phénylalanine, phosphate de calcium, vitamines : C, E, niacine, pantothenate de calcium, A, B1, B6, B2, D3, K1, B9, B12, biotine -  sulfates ferreux, de zinc, de cuivre et de manganèse, taurine, L-histidine, inositol, antioxydant: palmitate de L-ascorbyle, culture de lactobacillus reuteri DSM 17938*  L-carnitine, iodure de potassium, sélénate de sodium. *Sous licence Biogaia AB.]|"
23,15€ / Kg"|"
18,98 €"
