|Nom|Format|Description|Prix/QTE|Prix
4|4 pains burgers bio classique|le paquet de 220g|[Origine : FRANCE, Farine de blé*, eau, sucre de canne roux*, graines de lin* (4,3%), huile de colza*, agent d'enrobage : gomme de guar, levure, gluten de blé*, sel, arôme. Farine de blé français. Traces possibles de soja, oeuf, lait, sésame, lupin et moutarde.]|"
8,65€ / Kg"|##
17|Bolo Balls|La box de 300g|[Origine : FRANCE]||##
18|Bolo Balls|La box de 300g|[Origine : FRANCE]||##
30|Taboulé au poulet grillé|La barquette de 500g|[Origine : FRANCE, ?Semoule de blé dur réhydraté ?(?57?%)?, ?poulet grillé traité en salaison ?(?8?%)(?viande de poulet?, ?matière grasse de poulet?, ?protéines de blé?, ?sel?, ?amidon de pomme de terre?, ?stabilisant ?: ?E?407?a?-?E?451?i?, ?dextrose?, ?arôme?)?, ?poivrons (?8?%)?, ?huile de colza?, ?maïs ?(?5?%)?, ?tomates ?(?5?%)?, ?petits pois ?(?4?%)?,?vinaigre d?'?alcool?, ?ciboulette?, ?sel?, ?sucre?, ?arômes naturels?, ?épices ?(?0?,?2?%)?, ?conservateur ?: ?sorbate de potassium?. Traces possibles de ?: ?céleri?, ?lait?, ?crustacé?, ?moutarde?, ?oeuf?, ?poisson?, ?soja.?, Valeur énergétique en Joules :  741kj, Valeur énergétique en Kcal : 177kcal, Glucides : 19,0g, Lipides : 8,0g, Protides :6,0g, A conserver entre 0°C et +4°C. A consommer rapidement après ouverture. Conditionné sous atmosphère protectrice.]|"
5,98€ / Kg"|##
42|Mortadelle de Bologne , IGP|la barquette de 70g|[Origine : ITALIE, Viande de porc, sel, sucre, arôme épices, antioxydant (ascorbate de sodium), conservateur (nitrite de sodium). Sans gluten., Valeur énergétique en Joules :  1187kj, Valeur énergétique en Kcal : 286kcal, Glucides : 0,1g, Lipides : 24g, Protides :17,5g, Conservation : +4°C. Produit emballé sous atmosphère protectrice.]|"
27,57€ / Kg"|##
61|##|##|[]|##|##
62|##|##|[]|##|##
63|##|##|[]|##|##
64|##|##|[]|##|##
65|##|##|[]|##|##
66|##|##|[]|##|##
67|##|##|[]|##|##
68|##|##|[]|##|##
69|##|##|[]|##|##
70|##|##|[]|##|##
71|##|##|[]|##|##
72|##|##|[]|##|##
73|##|##|[]|##|##
74|##|##|[]|##|##
75|##|##|[]|##|##
76|##|##|[]|##|##
77|Le Crémeux Normand|La piece de 200g|[Origine : FRANCE, LAIT DE VACHE PASTEURISE / SEL / FERMENTS LACTIQUES ET D'AFFINAGE, Valeur énergétique en Joules :  1416kj, Valeur énergétique en Kcal : 342kcal, Glucides : 1g, Lipides : 30g, Protides :17g]|"
11,50€ / Kg"|##
89|Fromage à raclette classique, -25% de sel|Le paquet de 400g|[Origine : FRANCE, LAIT DE VACHE PASTEURISE - SEL - FERMENTS LACTIQUES ET D'AFFINAGE - COAGULANT - CONSERVATEUR (E 235)]|"
11,53€ / Kg"|##
90|Fromage pour raclette, classique|Les 16 tranches, 400g|[Origine : FRANCE, Trente ans de tradition. Affinage sur Epicéa.La marque n°1 de la raclette., Valeur énergétique en Joules :  1361, Valeur énergétique en Kcal : 328, Glucides : 0,5, Lipides : 26, Protides :23, A CONSERVER ENTRE 4 C ET 6 C]|"
11,53€ / Kg"|##
91|Fromage pour raclette, goût nature et fumé|Les 16 tranches, 400g|[Origine : FRANCE, RACLETTE NATURE : LAIT DE VACHE PASTEURISE - SEL - COAGULANT - CHLORURE DE CALCIUM - FERMENT LACTIQUE ET D'AFFINAGE COLORANT DE SURFACE E 160b   E 120 - CONSERVATEURS E 235 - LYSOZYME E 1105 LAIT DE VACHE PASTEURISE - SEL - COAGULANT - CHLORURE DE CALCIUM - FERMENT LACTIQUE ET D'AFFINAGE RACLETTE FUME : LAIT DE VACHE PASTEURISE - SEL - COAGULANT - CHLORURE DE CALCIUM - FERMENT LACTIQUE ET D'AFFINAGE COLORANT DE SURFACE E 160b   E 120 - CONSERVATEURS E 235 - LYSOZYME E 1105- AROME DE FUMEE, Valeur énergétique en Joules :  1361, Valeur énergétique en Kcal : 328, Glucides : 0,5, Lipides : 26, Protides :23, A CONSERVER ENTRE 4 C ET 6 C]|"
11,53€ / Kg"|##
92|Fromage pour raclette sans croûte, au lait de montagne|Les 16 tranches, 400g|[Origine : FRANCE, Tout le plaisir sans la croûte.La marque n°1 de la raclette., Pour 3-4 personnes., LAIT DE VACHE PASTEURISE - SEL - COAGULANT - CHLORURE DE CALCIUM - FERMENT LACTIQUE ET D'AFFINAGE - CONSERVATEURS E 235 - LYSOZYME E 1105, Valeur énergétique en Joules :  1361, Valeur énergétique en Kcal : 328, Glucides : 0,5, Lipides : 26, Protides :23, A CONSERVER ENTRE 4 C ET 6 C]|"
11,53€ / Kg"|##
