,enseigne,url,nom,marque,quantite,poids_volume,unite,poids_volume_total,descriptif,ingredients,conservation,valeurs_energetiques,origine,prix,prix_poids
0,Simply,"http://www.livraison.simplymarket.fr/acheter-allumettes-flam-up-x70-flam-up,166309,267.htm",ALLUMETTES FLAM'UP X70,FLAM'UP,70,,,,Allumette extra longue salon et jardin. 10 cm.,0,Tenir au sec et hors de portee des enfants.,,,"2,47",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-ecoclassic-53w-b22-lx-2-philips,233310,267.htm",AMPOULE  ECOCLASSIC 53W B22 LX 2,PHILIPS,1,,,,Ampoule a economie d'energie 53w B22 lumiere variable blanc chaudclassification energetique : D,:,,,,"5,25","2,63"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-ecoclassic-53w-e27-x-2-philips,233312,267.htm",AMPOULE  ECOCLASSIC 53W E27 X 2,PHILIPS,1,,,,Ampoule a economie d'energie 53w E27lumiere cariable blanc chaudClassifaication energetique :  D,0,,,,"5,20","2,60"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-assortiment-recettes-desserts-vendome-210g-vendome,217595,267.htm",ASSORTIMENT RECETTES DESSERTS VENDOME,VENDOME,1,,G,210,Assortiment recettes desserts.,"Sucre, graisses vegetales (palme, palmiste), beurre de cacao, poudre de lait entier, pate de cacao, cacao maigre en poudre, poudre de lait ecreme, pate de noisettes (fruits a coque), matiere grasse de lait anhydre, lactose (contient lait), eclats de speculoos (sucre, farine de ble complet (contient gluten), margarine (huiles vegetales (palme, tournesol), eau, regulateur d'acidite : acide citrique), farine de ble (contient gluten), sucre caramelise, epices (cannelle, clou de girofle, muscade, cardamome, poivre noir), poudre de lait ecreme, sel, poudre a lever : carbonates d'ammonium), noisettes entieres caramelisees (noisettes (fruits a coque), sucre, sirop de glucose, miel), lactoserum en poudre (contient lait), eclats de meringues (sucre, amidon de ble (contient gluten), blanc d'oeuf, arome), preparation de cafe (cafe, beurre de cacao, emulsifiant : lecithine de tournesol), emulsifiant : lecithine de tournesol, huile vegetale (tournesol), eclats de caramel (sucre, sirop de glucose, creme fraiche (contient lait), poudre de lait ecreme, sel, dextrose, arome), brisures de crepe dentelle (farine de ble (contient gluten), sucre, huile vegetale (tournesol), poudre de lait ecreme, malt d'orge (contient gluten), sel), aromes, agent d'enrobage : shellac, colorant: caramel ordinaire.",Craint la chaleur et l'humidite. Temperature ideale de conservation : 18C - 20C.,"Valeurs moyennes pour 100g : energie 2281kJ (547kcal), matieres grasses 34g (dont acides gras satures 20g), glucides 53g (dont sucres 52g), proteines 5,8g, sel 0.35g.",,"4,29","20,43"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-brosse-adhesive-scotch-brite-,182459,267.htm",BROSSE ADHESIVE SCOTCH BRITE,,1,,,,"Brosse adhesive pour vetement, 30 feuilles.",0,,,,"3,67",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-change-confort-x44-taille-5-auchan-baby-baby,204559,267.htm",CHANGE CONFORT+ TAILLE 5 AUCHAN BABY,Baby,44,,,,50 couches hypoallergeniques taille 5 pour bebe de 11 a 25kg,0,,,,"13,21","11,49"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-changes-confort-x40-taille-6-auchan-baby-baby,205527,267.htm",CHANGES CONFORT+ TAILLE 6 AUCHAN BABY,Baby,40,,,,Changes pour enfants de 13-27kg,0,,,,"13,21","11,49"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-changes-confort-x48-taille-4-auchan-baby-baby,205797,267.htm",CHANGES CONFORT+ TAILLE 4+ AUCHAN BABY,Baby,48,,,,48 changes hypoallergeniques pour bebe de 9-20kg,0,,,,"13,21","11,49"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-changes-confort-x52-taille-4-auchan-baby-baby,205795,267.htm",CHANGES CONFORT+ TAILLE 4 AUCHAN BABY,Baby,52,,,,52 changes hypoallergeniques pour bebe de 7-18kg,0,,,,"13,21","11,49"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-changes-confort-x60-taille-3-auchan-baby-baby,205515,267.htm",CHANGES CONFORT+ TAILLE 3 AUCHAN BABY,Baby,60,,,,Changes pour bebe de 4-9kg,0,,,,"13,21","11,49"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-chocolat-au-lait-raisins-amandes-noisettes-nestle-195g-nestle,224670,267.htm","CHOCOLAT AU LAIT RAISINS, AMANDES & NOISETTES NESTLE",Nestle,1,,G,195,"Chocolat au lait aux raisins, noisettes et amandes.","Sucre, lait entier en poudre, beurre de cacao, pate de cacao (Afrique de l'Ouest), raisins secs 6.5%, noisettes 5.8%, amandes 5.6%, emulsifiant : lecithine de tournesol, arome naturel de vanille de Madagascar.Cacao : 29% minimum.Traces : autres fruits a coque, oeuf, gluten, soja.",A conserver au sec et au frais.,"Valeurs moyennes pour 100g : energie 2233kJ (535kcal), matieres grasses 31.6g (dont acides gras satures 15.6g), glucides 52.8g (dont sucres 38.5g), fibres alimentaires 3.6g, proteines 8g, sel 0.02g.",,"3,55","18,21"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-cote-du-rhone-cellier-des-dauphins-6x25cl-cellier-des-dauphins,51301,267.htm",COTE DU RHONE CELLIER DES DAUPHINS,Cellier des Dauphins,6,25,CL,,"Couleur rose vifNez fruite, floral, tres aromatiqueSouple en bouche, rond, gras, beaucoup dampleur","Cepages: Grenache, Syrah et Cinsault",peut se garder 2 a 3 ansservir 15/17,,,"7,49","4,99"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-creme-legere-bridelice-fluide-3x20cl-bridelice,11401,267.htm",CREME LEGERE BRIDELICE FLUIDE,BRIDELICE,3,20,CL,,"Creme legere fluide a 12% de matiere grasse, sterilisee UHT longue conservation.","Creme legere (98%), amidon modifie: E1422, stabilisants: E440/ E407/ E460 / E466, emulsifiant: E472e.","Avant ouverture, a temperature ambiante, de preference inferieure a 18C. Apres ouverture, au refrigerateur, 3 jours maximum. Ne pas congeler.","Pour 100g : valeur energetique : 582 kj soit 140 kcal, proteines : 2,6g, glucides : 5,5g, lipides : 12g.",,"2,39","3,98"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-croissant-au-jambon-x2-auchan-340g-auchan,70031,267.htm",CROISSANT AU JAMBON AUCHAN,AUCHAN,2,,G,340,"Croissants garnis d'une sauce bechamel, de jambon et d'emmental.","SAUCE BLANCHE 41,2% : eau, farine de ble, margarine (matieres grasses vegetales (palme, coprah), eau, beurre, aromes, emulsifiant : mono et diglycerides dacides gras, sel, correcteur d'acidite : acide citrique, colorant : beta-carotene), lactose et proteines de lait, creme, sel, epice, extraits depices. CROISSANT 36,5% : farines [farine de ble, farine de feves, farine de ble malte, antioxydant : acide ascorbique], eau, margarine (matieres grasses vegetales (palme, coprah), eau, beurre, aromes, emulsifiant : mono et diglycerides dacides gras, sel, correcteur d'acidite : acide citrique, colorant : beta-carotene), sucre, levure, sel. JAMBON CUIT STANDARD 11,8% : jambon de porc,  eau, sel, sirop de glucose de ble ; stabilisants : triphosphates, diphosphates ; dextrose de ble, aromes, gelifiant : carraghenanes ; conservateurs : erythorbate de sodium, nitrite de sodium. EMMENTAL 10,6%  (Ingredients a la mise en uvre) Traces eventuelles de poissons, mollusques, crustaces, ufs et celeri.",Conditionne sous atmosphere productrice. Craint la chaleur et/ou l'humidite. A conserver entre 0 et 4 C. A consommer dans les 24H apres ouverture.,"Valeur energetique pour 100g : 1002 KJ, 240 Kcal ; Proteines : 8,4g ; Glucides : 20,1g ; Lipides : 13,5g",,"2,82","8,29"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-crottin-de-chevre-rians-2x60g-rians,3351,267.htm",CROTTIN DE CHEVRE RIANS,rians,2,60,G,,Fromage de chevre,"lait de chevre cru, ferments, sel et presure",A conserver entre +0 ; et +6C,24%Matiere grasse ; 20% Protides ; 2% Glucides ; 331 kcal 1373kJ,,"2,85","23,75"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-croutons-a-l-ail-vico-2x90g-vico,52171,267.htm",CROUTONS A L AIL  VICO,VICO,2,90,G,,CROUTONS A L AIL  VICO 2X90G,"Farine de ble, arome ail, huile vegetale,lactoserum et proteines de lait, sel, levure fraiche, matiere grasse vegetale, extrait de malt d'orge.",,,,"2,09","11,61"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-croutons-natures-vico-2x90g-vico,50141,267.htm",CROUTONS NATURES  VICO,VICO,2,90,G,,Croutons natures.,"Farine de ble (71%), huile vegetale, lactoserum en poudre, sel, levure, extrait d'orge maltee.Contient : gluten et derives laitiers.Traces eventuelles d'oeuf et sesame.",,"Valeurs moyennes pour 100g : 2090 kj, 499 kcal ; proteines 10g ; glucides 57g dont sucres 1,1g ; lipides 25g dont satures 11g ; fibres 3,2g ; sodium 0,8g",,"1,98","11,00"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-croutons-natures-marie-amelie-100g-,199909,267.htm",CROUTONS NATURES MARIE AMELIE,,1,,G,100,Croutons nature pour soupes et salades.,"Farine de ble, huile de tournesol, levure, lactose, sel, proteines de lait.",,,,"1,19","11,90"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-danao-peche-abricot-danone-1l-danone,1381,267.htm",DANAO PECHE/ABRICOT DANONE,DANONE,1,,L,1,Jus a la peche et a l'abricot,"Eau, Jus de fruits a base de concentre : Peche (12,8%), Abricot (12,8%), Lait ecreme (16,5%), Sucre, Stabilisant : Pectine, Acidifiant : Acide citrique, Colorant : B Carotene, Aromes. Peut contenir du soja",A conserver au frais,"Valeur energetique pour 100ml : 217kj soit 52kcalproteines : 0.7g, lipides : 0g, glucides : 11g",,"2,39","2,39"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-dentifrice-haleine-fraiche-auchan-75ml-auchan,162547,267.htm",DENTIFRICE HALEINE FRAICHE AUCHAN,AUCHAN,1,,ML,75,Dentifrice gel haleine fraiche. Au fluor avec microbilles de menthol.,"Sorbitol, aqua, hydrated silica, peg-8, sodium lauryl sulfate, aroma, sodium monofluorophosphate, xanthane gum, sodium saccharin, triclosan, sodium propylparaben, methylparaben, glycerin, helianthus annuus, seed oil, agar, alginic acid, menthol, polysorbate 20, potassium sorbate, sodium benzoate, citric acid, ci 77289, ci 42090, limonene. Contient du monofluorophosphate de sodium (1450 ppm de fluor).",A utiliser dans les 12 mois apres ouverture et avant la date inscrite dans la soudure du tube.,,,"1,30","17,33"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-eau-minerale-gazeuse-rozana-6x1l-rozana,172161,267.htm",EAU MINERALE GAZEUSE ROZANA,Rozana,6,1,L,,Eau minerale naturellement gazeuse.,Eau minerale naturellement gazeuse.,"A conserver a l'abri du soleil, dans un endroit propre, frais et sans odeur.","Composition moyenne (en mg/l) : Calcium : 301, sodium : 493, magnesium : 160, potassium : 52, bicarbonates : 1837, chlorures : 649, sulfates : 230, nitrates  : 1.",,"4,32","3,60"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-emmental-rape-zip-auchan-500g-auchan,204879,267.htm",EMMENTAL RAPE ZIP AUCHAN,AUCHAN,1,,G,500,"Fromage a pate pressee cuite, rapee.","Lait de vache pasteurise, sel, ferments, coagulant.",A conserver entre +4C et +8C.,"Valeurs moyennes pour 100g : 1512 kj, 364 kcal ; proteines 28g ; glucides 0g ; lipides 28g dont acides gras satures 20,1g ; fibres alimentaires 0g ; sodium 0,334g equivalent en sel 0,85g.",,"3,83","3,45"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-aerosol-fraicheur-brin-de-muguet-5en1-glade-by-brise-300ml-glade-by-brise,239622,181.htm",AEROSOL FRAICHEUR BRIN DE MUGUET 5EN1 GLADE BY BRISE,GLADE BY BRISE,1,,ML,300,Aerosol 5 en 1 senteur muguet.,0,,,,"1,89","6,30"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-eco-classic-e27-55w-sphere-x2-philips-philips,239110,181.htm",AMPOULE ECO CLASSIC E27 55W SPHERE PHILIPS,PHILIPS,2,,,,Ampoule eco classic E27 - 55W - 630 lumen.,0,,,,"6,15",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-eco-halogen-e14-30w-flamme-auchan-auchan,239358,181.htm",AMPOULE ECO HALOGEN E14 30W FLAMME AUCHAN,AUCHAN,1,,,,Ampoule eco halogen E14 - 30W - 230V - 410 lumen.,0,,,,"3,05",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-eco-halogen-e14-30w-mini-sphere-auchan-auchan,239130,181.htm",AMPOULE ECO HALOGEN E14 30W MINI SPHERE AUCHAN,AUCHAN,1,,,,Ampoule Eco Halogen mini sphere. E14 - 30W - 410 lumen - 230V. Dimensions 45mm X 78mm.,0,,,,"2,88",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-eco-halogen-e27-46w-mini-sphere-auchan-auchan,239132,181.htm",AMPOULE ECO HALOGEN E27 46W MINI SPHERE AUCHAN,AUCHAN,1,,,,Ampoule Eco Halogen sphere. E27 - 46W - 702 lumen - 230V. Dimensions 45mm X 72mm.,0,,,,"2,88",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-ampoule-eco-halogen-gu10-40w-x2-auchan-auchan,239142,181.htm",AMPOULE ECO HALOGEN GU10 40W AUCHAN,AUCHAN,2,,,,Ampoules Eco Halogen. GU10 - 40W - 230V - 300 lumen. Dimensions 50mm X 57mm.,0,,,,"3,97",
0,Simply,"http://www.livraison.simplymarket.fr/acheter-arlequin-fizz-lutti-225g-lutti,239320,181.htm",ARLEQUIN FIZZ LUTTI,Lutti,1,,G,225,Confiserie gelifiee aromatisee.,"Sirop de glucose-fructose, sucre, gelatine, acidifiants (acide citrique, acide malique), correcteur d'acidite (malate de sodium), arome, colorants (E161b, E120, E133).",Craint la chaleur et l'humidite.,Valeurs moyennes pour 100g : Energie 1444kJ (340kcal)Matieres grasses 0gGlucides 78.8g dont sucres 68gProteines 5.4gSel 0.31g,,"1,99","8,84"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-assortiment-de-biscuits-party-time-delacre-1kg-delacre,238484,181.htm",ASSORTIMENT DE BISCUITS PARTY TIME DELACRE,DELACRE,1,,KG,1,Assortiment de biscuits.,"Farine de ble, sucre, graisse vegetale, chocolat 13% (sucre, pate de cacao, beurre de cacao, cacao maigre en poudre, lactose, beurre patissier, emulsifiant : lecithine de soja), chocolat au lait 12% (sucre, beurre de cacao, pate de cacao, lait ecreme en poudre, lactose, beurre patissier, emulsifiant : lecithine de soja, arome), chocolat blanc 3% (sucre, beurre de cacao, lait ecreme en poudre, lactose, beurre patissier, lactoserum en poudre, emulsifiant : lecithine de soja, arome), cassonade 0.9%, lactose et proteines de lait, amidon de ble, lait entier en poudre, dextrose, beurre 0.3%, cacao maigre en poudre 0.2%, noix de coco 0.2%, sel, chocolat en flocons (sucre, pate de cacao, poudre de lait entier, beurre patissier, beurre de cacao, arome), amandes, poudres a lever : carbonates de sodium, carbonates d'ammonium, diphosphate disodique ; farine de malt d'orge, blanc d'oeuf en poudre, oeuf entier en poudre, emulsifiant : lecithine de soja, aromes, jaune d'oeuf en poudre, cannelle, colorants E100 et E171.",Conserver a l'abri de la chaleur et de l'humidite.,,,"10,99","10,99"
0,Simply,"http://www.livraison.simplymarket.fr/acheter-assortiment-de-biscuits-teatime-400g-delacre-par-chantal-thomas-delacre,238724,181.htm",ASSORTIMENT DE BISCUITS TEATIME,DELACRE,1,,G,400,Assortiment de biscuits.,"Farine de ble, sucre, graisse vegetale, chocolat (13%) (sucre, pate de cacao, beurre de cacao, cacao maigre en poudre, lactose, beurre patissier, emulsifiant : lecithine de soja), chocolat au lait (7%) (sucre, beurre de cacao, pate de cacao, lait ecreme en poudre, lactose, beurre patissier, emulsifiant : lecithine de soja, arome), chocolat blanc (7%) (sucre, beurre de cacao, lait ecreme en poudre, lactose, beurre patissier, lactoserum en poudre, emulsifiant : lecithine de soja, arome), cassonade 1%, lactose et proteines de lait, amidon de ble, beurre, cacao maigre en poudre 0.4%, amandes, dextrose, noix de coco (0.2%), sel, blanc d'oeuf en poudre, emulsifiant : lecithine de soja, poudres a lever : carbonates de sodium, carbonates d'ammonium, diphosphate disodique ; oeuf entier en poudre, lait entier en poudre, aromes, jaune d'oeuf en poudre, cannelle.",Conserver a l'abri de la chaleur et de l'humidite.,,,"6,49","16,23"
